open_time,open,high,low,close,close_time
1683331200000,29573.59537774,29879.92519563,28449.27689978,28944.12799462,1683417599999
1683417600000,28943.69299235,29212.60577338,28530.63133707,28559.51536275,1683503999999
1683504000000,28559.35834084,28775.77426488,27294.85808048,27693.04459502,1683590399999
1683590400000,27693.26921169,27834.2040565,27375.38108237,27650.4742771,1683676799999
1683676800000,27650.78271726,28331.15977363,26854.80132536,27619.54687313,1683763199999
1683763200000,27619.93456658,27639.73411443,26745.21952632,26990.61049555,1683849599999
1683849600000,26990.23490166,27092.96335057,25845.57827536,26812.26340703,1683935999999
1683936000000,26811.88186857,27043.7886113,26710.2373595,26788.62873639,1684022399999
1684022400000,26788.45027486,27203.09706372,26619.47793158,26932.08272098,1684108799999
1684108800000,26931.80887482,27673.70255487,26753.74247822,27172.99991388,1684195199999
1684195200000,27173.30295055,27303.01698936,26874.36496639,27041.70232319,1684281599999
1684281600000,27041.70232277,27500.57953349,26570.22673364,27407.79397707,1684367999999
1684368000000,27407.99398507,27485.22695934,26402.83211728,26831.52204633,1684454399999
1684454400000,26831.30814939,27177.65903703,26662.1520757,26895.63245758,1684540799999
1684540800000,26895.63245758,27159.00137672,26846.20014185,27117.04408047,1684627199999
1684627200000,27116.98408121,27280.91994432,26689.62092025,26755.42419775,1684713599999
1684713600000,26755.46573621,27098.18681196,26548.97269814,26859.2258763,1684799999999
1684800000000,26859.1858769,27481.08009749,26813.78005331,27228.82534467,1684886399999
1684886400000,27228.82367768,27228.83763573,26090.44403428,26330.9171451,1684972799999
1684972800000,26330.86636907,26604.66338798,25882.23305324,26484.1471002,1685059199999
1685059200000,26484.13171507,26944.50901119,26342.27570605,26724.93198158,1685145599999
1685145600000,26724.87263123,26899.48634506,26594.51880437,26873.06661704,1685231999999
1685232000000,26874.1709367,28241.24891933,26793.69233022,28080.96192938,1685318399999
1685318400000,28081.73026271,28451.08655139,27547.80164861,27752.6381239,1685404799999
1685404800000,27752.64812832,28054.7007901,27581.40332622,27709.17139544,1685491199999
1685491200000,27709.16062694,27843.25744275,26859.88772137,27220.01323742,1685577599999
1685577600000,27220.01157022,27342.88522388,26645.14349503,26826.32526893,1685663999999
1685664000000,26826.77081477,27302.67864904,26517.43509659,27251.93665615,1685750399999
1685750400000,27251.9381951,27330.3785849,26945.50917268,27080.2792144,1685836799999
1685836800000,27080.27767529,27454.57579697,26964.05800553,27126.76830756,1685923199999
1685923200000,27126.05427813,27132.76301514,25421.16176936,25743.54189471,1686009599999
1686009600000,25743.75576254,27346.55098819,25382.19123927,27236.68465786,1686095999999
1686096000000,27236.7006747,27372.45337219,26138.61871603,26350.70848025,1686182399999
1686182400000,26350.71181403,26812.83778309,26230.3988767,26511.70339653,1686268799999
1686268800000,26511.67298475,26780.28265918,26297.67485474,26485.57044369,1686355199999
1686355200000,26485.57204395,26532.81326717,25431.99309278,25856.65566421,1686441599999
1686441600000,25856.89218692,26211.17938886,25656.82619424,25939.46498104,1686527999999
1686528000000,25939.88585137,26102.31696687,25644.30439849,25909.19116351,1686614399999
1686614400000,25909.19116351,26419.35600134,25723.0304781,25934.29946293,1686700799999
1686700800000,25934.32826293,26069.81814117,24837.31835432,25130.48051423,1686787199999
1686787200000,25130.23731502,25743.86036811,24785.82074115,25575.43485711,1686873599999
1686873600000,25575.37085556,26480.91695775,25198.61566824,26330.24642331,1686959999999
1686960000000,26330.24642331,26789.5676986,26175.91101164,26508.35912957,1687046399999
1687046400000,26508.3607289,26687.88536279,26272.56830372,26342.72726519,1687132799999
1687132800000,26342.72726519,27033.17429183,26268.90968169,26844.10591002,1687219199999
1687219200000,26843.81311002,28405.57561012,26654.38504451,28315.58485543,1687305599999
1687305600000,28315.40240267,30775.79523083,28274.3515375,29999.69822682,1687391999999
1687392000000,30000.73147865,30503.75836829,29574.96676984,29896.36191545,1687478399999
1687478400000,29895.61227106,31410.8344915,29826.79791454,30710.43703893,1687564799999
1687564800000,30710.01243136,30812.43486667,30279.98871731,30546.1384487,1687651199999
1687651200000,30546.49284828,31053.0344097,30297.40772568,30473.57905119,1687737599999
1687737600000,30473.69873838,30662.66261811,29951.63682419,30275.50231611,1687823999999
1687824000000,30274.71671239,31009.64263257,30234.24146248,30701.62783747,1687910399999
1687910400000,30701.77914182,30716.57849917,29885.05483419,30081.60683315,1687996799999
1687996800000,30080.92523315,30833.60046097,30051.95727026,30451.84444503,1688083199999
1688083200000,30451.84444503,31272.86602056,29551.67706737,30477.48501573,1688169599999
1688169600000,30477.13027828,30659.52243572,30329.03592451,30592.62662477,1688255999999
1688256000000,30592.62749448,30795.89373979,30182.90220128,30623.90751985,1688342399999
1688342400000,30622.6892588,31389.40282726,30581.90255566,31160.8424284,1688428799999
1688428800000,31160.70909418,31334.701859,30641.78006242,30772.77453108,1688515199999
1688515200000,30772.50733108,30881.17993949,30211.58543505,30509.03410174,1688601599999
1688601600000,30508.46723962,31502.88712251,29875.96789779,29906.80623583,1688687999999
1688688000000,29906.92906552,30456.54937269,29739.83034049,30355.09837663,1688774399999
1688774400000,30355.13197663,30391.45182428,30062.28532754,30299.18590928,1688860799999
1688860800000,30299.18750928,30441.41724232,30073.51966288,30169.50224654,1688947199999
1688947200000,30169.37007263,31043.28536416,29971.55197581,30424.3389207,1689033599999
1689033600000,30424.77699821,30809.590128,30324.0927659,30632.22983326,1689119999999
1689120000000,30632.22809356,30971.17286953,30227.84877009,30393.0297839,1689206399999
1689206400000,30392.57500044,31830.37507483,30267.26440979,31474.11010572,1689292799999
1689292800000,31474.12771452,31635.11079413,29932.56072113,30332.72568413,1689379199999
1689379200000,30332.61525755,30410.70567651,30259.73038161,30302.64415855,1689465599999
1689465600000,30302.80735789,30449.66036715,30084.20309262,30249.57859861,1689551999999
1689552000000,30249.67250613,30346.57423202,29681.49485817,30151.51740856,1689638399999
1689638400000,30151.5094052,30251.08807939,29548.43710653,29870.97962361,1689724799999
1689724800000,29870.75642268,30197.2807827,29777.8501522,29919.96917918,1689811199999
1689811200000,29919.96917918,30422.06175823,29590.70850642,29806.55611977,1689897599999
1689897600000,29806.40905124,30060.03415163,29741.28324446,29907.05795651,1689983999999
1689984000000,29907.05795651,30005.10398846,29646.80744595,29800.30426135,1690070399999
1690070400000,29801.10266071,30352.80965555,29740.49887742,30090.47690347,1690156799999
1690156800000,30090.47850376,30103.10352574,28880.3782965,29187.02013726,1690243199999
1690243200000,29187.01853726,29376.37117614,29061.80122586,29236.9058938,1690329599999
1690329600000,29236.61163271,29688.28034619,29110.58344018,29361.47074475,1690415999999
1690416000000,29361.46994448,29568.29256877,29089.45720579,29226.05069155,1690502399999
1690502400000,29226.25108575,29538.30514885,29123.34060717,29321.86657223,1690588799999
1690588800000,29321.72241457,29415.89955518,29269.14936176,29365.56816437,1690675199999
1690675200000,29365.21673046,29454.85385677,29060.42267707,29289.36785054,1690761599999
1690761600000,29443.70575439,29477.17160579,29126.00266963,29240.23269391,1690847999999
1690848000000,29240.24549737,29728.39572033,28583.68335311,29703.65024463,1690934399999
1690934400000,29702.71744463,30033.66768765,28929.83043438,29175.20075316,1691020799999
1691020800000,29175.11325092,29404.49231457,28943.48727837,29174.4784198,1691107199999
1691107200000,29174.4800185,29313.98612853,28798.17286208,29077.17579905,1691193599999
1691193600000,29077.21498046,29111.04912545,28959.11025108,29053.87653542,1691279999999
1691280000000,29053.86054662,29168.34430588,28966.5606507,29054.02255014,1691366399999
1691366400000,29054.0217511,29254.22208736,28687.44157431,29190.60740716,1691452799999
1691452800000,29190.64260716,30211.9957601,29123.45963664,29766.01962672,1691539199999
1691539200000,29766.01962672,30120.59346197,29359.50165756,29570.71431185,1691625599999
1691625600000,29570.71751185,29710.49621458,29326.6842473,29428.04002321,1691711999999
1691712000000,29428.09533568,29537.04812966,29236.11308942,29407.63480315,1691798399999
1691798400000,29407.63640205,29472.84536569,29363.16649874,29421.73997617,1691884799999
1691884800000,29421.74171473,29454.67781664,29263.5990874,29283.43897793,1691971199999
1691971200000,29283.43376054,29668.24026822,29091.15563275,29404.61419757,1692057599999
1692057600000,29404.7477987,29462.85771454,29073.01968466,29177.59407217,1692143999999
1692144000000,29177.69179761,29234.25576343,28700.7691562,28701.7061398,1692230399999
1692230400000,28701.70454166,28757.84738541,25060.00754197,26633.08338616,1692316799999
1692316800000,26631.37843451,26825.31511944,25646.62317992,26053.01899114,1692403199999
1692403200000,26053.01899114,26264.09455105,25801.05928115,26099.91548104,1692489599999
1692489600000,26099.81343984,26293.56397788,25994.42182079,26195.08273687,1692575999999
1692576000000,26195.04753687,26245.69623346,25826.20350264,26128.97681365,1692662399999
1692662400000,26129.00401365,26141.39245114,25396.25238941,26041.49554511,1692748799999
1692748800000,26041.68594511,26806.10729924,25804.59589215,26437.72164282,1692835199999
1692835200000,26437.82425151,26571.72173246,25874.34199676,26173.5197149,1692921599999
1692921600000,26173.5197149,26295.38845149,25788.16513054,26055.5944156,1693007999999
1693008000000,26055.68112413,26109.76071651,25984.54865741,26011.40996547,1693094399999
1693094400000,26011.40996547,26174.02226155,25968.46841165,26092.79745548,1693180799999
1693180800000,26092.77265585,26236.46752357,25867.97110578,26106.40548507,1693267199999
1693267200000,26106.08569734,28131.27704882,25917.85340468,27724.36378398,1693353599999
1693353600000,27723.77591421,27770.55969658,27051.03213067,27308.51853681,1693439999999
1693440000000,27308.39660819,27537.7646499,25689.62009486,25934.35805886,1693526399999
1693526400000,25934.55805934,26141.89226615,25334.47894638,25797.85425724,1693612799999
1693612800000,25797.73773616,25981.37786592,25748.80886238,25868.6606244,1693699199999
1693699200000,25868.76671136,26118.00472548,25808.46400423,25970.45880671,1693785599999
1693785600000,25970.02101835,26091.24259282,25633.36395118,25815.29647255,1693871999999
1693872000000,25815.29647255,25879.28334953,25562.28117779,25781.94134119,1693958399999
1693958400000,25782.11699336,26005.41713157,25393.59973397,25755.3538105,1694044799999
1694044800000,25755.43955234,26424.52896122,25611.91877738,26256.58428214,1694131199999
1694131200000,26257.14908234,26438.81968477,25654.25185317,25908.66377436,1694217599999
1694217600000,25908.66203542,25934.00022715,25801.5754432,25900.85758938,1694303999999
1694304000000,25900.85758953,26016.49755404,25608.53471019,25837.97773864,1694390399999
1694390400000,25837.98573714,25894.76349161,24922.46760489,25162.51730156,1694476799999
1694476800000,25162.66130143,26530.97574278,25130.98610902,25845.35068612,1694563199999
1694563200000,25845.31068612,26408.16715996,25771.74799783,26227.71842638,1694649599999
1694649600000,26227.71682604,26833.14676797,26137.17301736,26534.23647868,1694735999999
1694736000000,26534.09487894,26873.22125609,26231.14897801,26608.96561326,1694822399999
1694822400000,26608.42467911,26777.60826911,26459.29272833,26571.14000679,1694908799999
1694908800000,26571.13960665,26628.85690726,26415.44867191,26537.20804009,1694995199999
1694995200000,26537.21737472,27428.47821149,26406.75328561,26770.19500736,1695081599999
1695081600000,26769.352524,27493.01392255,26680.42442785,27219.083414,1695167999999
1695168000000,27219.22745968,27395.53370241,26819.30084629,27123.67828002,1695254399999
1695254400000,27125.50321763,27163.40418587,26384.86273666,26567.3475007,1695340799999
1695340800000,26567.27470507,26741.98398903,26486.66882334,26581.39334058,1695427199999
1695427200000,26581.51383559,26640.66552496,26522.06306129,26584.9791395,1695513599999
1695513600000,26584.9791395,26741.38931255,26160.69292007,26263.13273629,1695599999999
1695600000000,26261.99300038,26440.38930973,26006.22402673,26304.68927137,1695686399999
1695686400000,26304.60123992,26396.61198197,26095.87858316,26218.24599162,1695772799999
1695772800000,26218.24439162,26835.58423226,26108.02640226,26364.92375859,1695859199999
1695859200000,26364.92375859,27303.14023903,26333.79088371,27024.83103887,1695945599999
1695945600000,27024.83903887,27240.32558842,26705.00595836,26909.0656782,1696031999999
1696032000000,26909.0656782,27097.65919594,26892.17061029,26968.79265383,1696118399999
1696118400000,26968.74619655,28131.24098702,26962.36554564,27997.35264209,1696204799999
1696204800000,27998.07005882,28572.31434571,27317.12853452,27512.46886528,1696291199999
1696291200000,27510.05205358,27676.55714089,27178.40350774,27428.85401522,1696377599999
1696377600000,27428.38094022,27835.67469666,27232.63917078,27790.03118704,1696463999999
1696464000000,27789.2344251,28121.32582614,27365.47812736,27412.33334722,1696550399999
