open_time,open,high,low,close,close_time
1725408000000,58761.52884397,59840.62724823,56831.69773759,59263.14040426,1725494399999
1725494400000,59263.26058156,59650.36021277,56882.9857234,57380.09576596,1725580799999
1725580800000,57378.89151064,58186.46593617,53726.33344681,55136.40070213,1725667199999
1725667200000,55136.30282979,55962.62440426,54882.86491489,55289.84212057,1725753599999
1725753600000,55291.46850355,56482.83677305,54715.24492908,56037.9622766,1725839999999
1725840000000,56037.9622766,59220.7842695,55735.10104965,58244.58621277,1725926399999
1725926400000,58244.58429787,59268.97624823,57588.03204965,58848.65637589,1726012799999
1726012800000,58848.86863121,59212.55805674,56741.5801844,58515.38661702,1726099199999
1726099200000,58515.38661702,59794.00083688,58502.8168227,59326.68420567,1726185599999
1726185600000,59326.70638298,61936.01287943,58836.55693617,61784.35644681,1726271999999
1726272000000,61784.10623404,61892.14870213,60708.64701418,61267.29342553,1726358399999
1726358400000,61267.34797163,61607.80073759,59870.67699193,60303.71305674,1726444799999
1726444800000,60303.60603546,60379.53445341,58565.51553191,59313.39043972,1726531199999
1726531200000,59313.13448227,62491.1061844,58695.3817305,61407.64215603,1726617599999
1726617600000,61407.63641135,63006.96961702,60254.60910638,62984.46624113,1726703999999
1726704000000,62992.64049645,65141.22974321,62824.64666667,64213.79021277,1726790399999
1726790400000,64213.83600709,65406.36523404,63596.7554539,64453.3948227,1726876799999
1726876800000,64453.3948227,64790.50643262,63972.29208511,64601.83884397,1726963199999
1726963200000,64601.83884397,65190.55458156,63561.5879078,64756.7189078,1727049599999
1727049600000,64757.58784397,65966.24387943,63742.78446809,64491.73217021,1727135999999
1727136000000,64491.73217021,65837.06906383,63823.67363169,65390.85284397,1727222399999
1727222400000,65390.85284397,65978.71443972,64109.70159941,64318.88335461,1727308799999
1727308800000,64318.88335461,66947.2859281,63832.58570922,66305.65892908,1727395199999
1727395200000,66305.61914184,67740.86213475,65932.4817755,67077.75719736,1727481599999
1727481600000,67077.76996332,67598.85025532,66684.90942553,67162.46889362,1727567999999
1727568000000,67162.71216312,67408.58759574,66692.45373759,66899.4027234,1727654399999
1727654400000,66899.40208511,66905.98838298,63974.62174468,64459.38520567,1727740799999
1727740800000,64459.48009929,65258.94435461,61187.74491489,61880.92569504,1727827199999
1727827200000,61878.2459078,63428.74487234,61028.35144681,61699.32960993,1727913599999
1727913600000,61699.7657234,62542.67737589,60872.3237305,61790.43788652,1727999999999
1728000000000,61790.73536879,63573.54193617,61513.42095918,63156.06741844,1728086399999
1728086400000,63158.2767234,63479.64112057,62762.72277305,63148.50735461,1728172799999
1728172800000,63148.47480142,64159.19828369,62883.22911348,63999.19051064,1728259199999
1728259200000,63999.19114894,65658.6109978,63286.10792199,63336.24256028,1728345599999
1728345600000,63333.80834043,64348.94759574,62935.80701418,63220.28378723,1728431999999
1728432000000,63219.92017021,63616.12862069,61347.33494326,61652.05904965,1728518399999
1728518400000,61650.95266667,62339.25653901,59894.15190071,61284.91734409,1728604799999
1728604800000,61284.91245048,64558.43038885,61064.18479433,63658.56687234,1728691199999
1728691200000,63659.28630496,64550.34052482,63572.28999291,64267.59157447,1728777599999
1728777600000,64267.60650037,64366.69629078,63108.07692908,63965.73432624,1728863999999
1728864000000,63965.73432624,67754.78566667,63542.12165957,67358.26531915,1728950399999
1728950400000,67358.28234043,69187.29539007,65946.31220103,68227.31666667,1729036799999
1729036800000,68227.10911348,69650.50648569,67880.93290071,68775.94571631,1729123199999
1729123200000,68775.94209929,69104.79407801,67818.51206383,68529.43334043,1729209599999
1729209600000,68529.43334043,70223.85613475,68287.01165957,69618.84707092,1729295999999
1729296000000,69619.01606383,69905.45587943,69153.6718156,69523.79120567,1729382399999
1729382400000,69524.38716312,70724.92468794,69230.42110638,70341.36457814,1729468799999
1729468800000,70341.35819516,70855.05902128,67986.60400709,68548.47848227,1729555199999
1729555200000,68548.47550355,69036.51741135,67751.46702128,68606.24339007,1729641599999
1729641600000,68605.0044539,68634.72219149,66332.41993617,67807.58098582,1729727999999
1729728000000,67807.84685816,70095.9083617,67667.31558865,69458.09188652,1729814399999
